"timestep","planner","seed","seconds","utility"
30,pmc,19,1068.66,3.615934713627141
31,pmc,19,1133.185,3.482002075544505
32,pmc,19,1239.079,3.5960108211033184
33,pmc,19,1469.311,3.2763748664929344
34,pmc,19,1084.77,3.3633248220306515
35,pmc,19,1216.181,3.4352781565234705
36,pmc,19,1234.852,3.5305842527863827
37,pmc,19,943.517,3.453432927260582
38,pmc,19,1026.74,3.251812943749998
39,pmc,19,1013.792,1.6719129635
0,pmc,17,752.807,3.6598952932378213
1,pmc,17,829.432,4.481082990203189
2,pmc,17,958.049,4.601231894440406
3,pmc,17,905.391,4.368653465676024
4,pmc,17,1092.876,4.682917438394723
5,pmc,17,1070.119,4.680453762783688
6,pmc,17,1045.456,5.049036636795448
7,pmc,17,1090.8,5.019113484150808
8,pmc,17,1139.02,5.509670427810417
9,pmc,17,1055.221,5.680311513188304
10,pmc,17,1087.837,5.755029480487458
11,pmc,17,1105.617,5.764468082507696
12,pmc,17,1058.423,5.621386503151929
13,pmc,17,1036.434,5.804775882256173
14,pmc,17,1067.145,5.2587932415324685
15,pmc,17,1060.044,4.984825862742717
16,pmc,17,1002.563,4.626644865338711
17,pmc,17,844.247,4.159267641960247
18,pmc,17,870.777,4.568755996106811
19,pmc,17,1060.378,4.039114591136829
20,pmc,17,1006.733,3.725767957648587
21,pmc,17,1073.981,3.833995962986799
22,pmc,17,1020.463,3.8882053367529656
23,pmc,17,1041.304,3.965576690280332
24,pmc,17,1050.406,3.963423530524377
25,pmc,17,986.669,4.080012019508883
26,pmc,17,1027.196,3.7939456258416024
27,pmc,17,1085.901,3.629920328619672
28,pmc,17,1019.948,3.508084699524657
29,pmc,17,1016.101,3.5976339360884384
30,pmc,17,1054.443,3.6397131419335476
31,pmc,17,1119.399,3.7591633528008135
32,pmc,17,1127.727,3.6126051406357877
33,pmc,17,1146.804,3.732549325299927
34,pmc,17,1187.14,3.620749868019615
35,pmc,17,1080.558,3.703728897897113
36,pmc,17,1194.381,3.804963167983037
37,pmc,17,1055.411,3.529174968437857
38,pmc,17,1170.616,3.576066563362756
